sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
m,1994,1,2,13,1,8,6,2,0.18,-0.43,32,r
f,1974,1,2,2,1,1,10,1,-0.5,-0.23,32,r
f,1991,1,2,7,3,1,1,3,-0.33,-0.43,32,r
m,1977,1,2,16,4,8,11,1,0,-0.48,,r
m,1955,1,1,6,6,8,6,1,0.1,-0.3,0,r
m,1990,1,3,5,4,8,7,3,-0.03,0.4,,r
m,1997,1,2,9,1,8,11,3,-0.28,-0.2,,r
m,1991,1,1,11,3,1,10,2,0.28,-0.55,43,r
m,1987,1,2,2,4,8,1,3,0,-0.5,0,r
m,1990,1,1,7,7,1,11,1,-0.2,-0.48,68,r
m,1975,2,1,3,7,1,11,1,-0.23,-0.53,0,r
f,1985,1,2,3,1,1,11,1,-0.55,-0.1,,r
f,1982,1,1,3,6,8,11,3,-0.48,-0.15,,r
m,1983,1,1,6,7,8,6,3,0.15,-0.35,,r
m,1964,3,1,16,6,5,11,3,0.13,0.4,0,r
f,1970,1,1,6,,8,,1,-0.7,-0.23,,r
m,1981,1,1,6,7,8,1,1,0.03,-0.55,,r
m,1952,1,1,5,,8,11,2,-0.73,-0.1,0,r
m,1990,3,1,6,6,9,11,1,0.7,-0.78,,r
f,1992,1,2,9,5,2,11,1,-0.03,-0.48,0,r
m,1974,1,1,15,3,8,11,2,-0.4,-0.08,0,r
f,1969,1,1,3,6,8,1,1,-0.28,-0.38,0,r
m,1985,5,2,13,1,8,1,1,-0.03,-0.4,46,r
m,,1,1,1,,8,11,1,0.18,-0.6,,r
m,1979,1,1,8,6,8,11,1,-0.03,-0.43,,r
m,1985,1,1,6,7,1,2,2,0.08,-0.48,,r
m,1979,1,1,4,2,1,11,1,-0.55,-0.15,,r
m,1968,1,1,4,4,9,6,2,0,-0.43,,r
m,1982,1,1,2,5,8,11,1,-0.18,0.05,0,r
f,1975,3,1,2,5,1,11,1,-0.38,0.08,,r
f,1991,1,2,16,3,2,2,1,-0.18,-0.1,32,r
m,,1,3,4,2,8,11,3,-0.43,-0.53,0,r
m,1981,1,1,6,7,9,11,3,-0.05,-0.4,43,r
,,3,1,11,4,8,11,3,0.03,-0.43,,r
m,1988,1,2,10,6,8,11,1,0.23,-0.65,0,r
m,,1,3,13,3,8,6,3,-0.05,-0.48,,r
m,,1,1,4,4,8,3,1,-0.23,-0.73,0,r
m,1990,3,2,13,3,8,6,2,0.13,-0.48,,r
m,1978,1,1,3,4,8,1,3,-0.1,-0.73,0,r
f,1990,1,4,8,1,8,11,3,-0.08,-0.43,14,r
m,1981,1,1,6,4,1,11,4,-0.15,0.18,,r
m,1989,1,2,10,3,8,2,1,0.3,-0.28,0,r
m,1984,1,1,4,3,8,11,2,-0.2,-0.4,0,r
f,1971,1,1,1,2,9,11,1,-0.35,-0.63,32,r
m,,3,2,16,,8,11,3,-0.45,-0.55,0,r
m,1970,3,1,6,3,1,10,3,-0.38,0.13,14,r
m,1984,2,1,1,4,1,11,3,0.45,-0.35,,r
m,1985,1,2,6,3,8,11,2,-0.6,-0.53,0,r
m,,1,1,6,6,8,11,3,0.15,-0.4,0,r
f,1960,1,1,5,7,8,11,3,0,-0.13,0,r
f,,,2,5,,,,,-0.1,0.2,0,r
m,1994,3,2,9,2,8,11,3,0.03,-0.4,0,r
,,,,5,,,,,-0.18,-0.4,,r
m,1980,3,1,2,5,8,11,1,0.03,-0.75,0,r
f,1980,,,5,,,,,0.03,-0.23,,r
f,1992,1,2,2,1,8,11,2,-0.38,-0.85,0,r
m,1986,1,2,6,4,8,6,3,0.03,-0.63,0,r
f,1983,1,1,12,7,1,1,3,-0.2,-0.13,32,r
m,1966,2,1,3,,6,11,1,0.13,-0.33,0,r
m,1981,1,3,13,3,9,11,2,-0.33,0.13,0,r
m,1972,1,1,6,5,1,1,2,0,-0.5,,r
f,,1,2,2,6,8,11,4,0.1,-0.38,,r
f,1979,1,1,16,5,1,3,1,-0.28,-0.48,,r
f,1990,1,2,9,3,1,11,1,-0.45,-0.35,0,r
f,1962,3,1,5,5,8,11,1,-0.5,-0.4,0,r
m,1980,1,1,6,5,8,10,2,0.05,-0.4,32,r
f,1986,1,1,16,3,8,1,1,-0.08,-0.58,,r
m,1986,1,1,7,6,8,10,3,-0.03,-0.25,32,r
,,,,5,,,,,-0.35,-0.55,,r
m,1980,1,1,7,7,1,1,3,-0.35,0.05,,r
m,1982,1,1,2,6,4,1,1,0.05,0.15,32,r
m,,1,1,14,4,1,10,1,-0.05,-0.2,,r
